"Wallet","ID","Shelf"
"GXEnsvjHTrdX4MW3oD217pw6fiRBM3ryeqG5ZdATNwMpU5A","12705917-3208723ec6f65df810-ITEM-192EGG-109","11996468-3208723ec6f65df810-SHELF-VS-84"
"FtJxbGrVNert5zXsFmqhfsXpu7cTgBCHw7KU4xpc3popwYw","12705917-3208723ec6f65df810-ITEM-192EGG-110","12308012-3208723ec6f65df810-SHELF-VS-75"
"GX4FHcqNWQ4mC5ucVxGzwSMSwSRBcLyuq89tqAQ2X5AuKWF","12705950-3208723ec6f65df810-ITEM-192EGG-157","11996468-3208723ec6f65df810-SHELF-VS-62"
"Gr3VqYW85kuZokrWzeNC8rT6R1sopMkpgN1v8bgTiQQx1M7","12705950-3208723ec6f65df810-ITEM-192EGG-160","11922926-3208723ec6f65df810-SHELF-VS-97"
"D5WxiuCkRfGrFpRjH4uvmjdUQYH6bvHXiUVYp4eRnr7E1DA","12705950-3208723ec6f65df810-ITEM-192EGG-168","11922926-3208723ec6f65df810-SHELF-VS-104"
"Cr88bPfuivhgisfvUh7ageesBtZBbrSnzkbS1KUUocAGYNk","12705950-3208723ec6f65df810-ITEM-192EGG-187","12007739-3208723ec6f65df810-SHELF-VS-18"
"FWr4F3wRSCTzLT4sWHoKtLpBRxC19J5uyTbLQZYY9noN99X","12705950-3208723ec6f65df810-ITEM-192EGG-197","12540821-3208723ec6f65df810-SHELF-VS-28"
"G5FeTJ1jyNoJ1wAYje9vabkSbo5dfFLnE9ozn82ozBHzbkx","12705982-3208723ec6f65df810-ITEM-192EGG-227","11996468-3208723ec6f65df810-SHELF-VS-119"
"Eah29oLSAEJPq4nKnqQjFbkaFVAA3q3uJqVHc5QCRWWWE6d","12705982-3208723ec6f65df810-ITEM-192EGG-230","12221491-3208723ec6f65df810-SHELF-VS-94"
"DuGtcKdHw4myhF7mRBBcfWXCGwFNfDbueoDppVbvXQc5pFq","12706018-3208723ec6f65df810-ITEM-192EGG-253","12156904-3208723ec6f65df810-SHELF-VS-96"
"Fk5Z52gA8Ue5G3jNWtvJzNARU1HK12ufsa5xZuDgKvQK5KX","12706018-3208723ec6f65df810-ITEM-192EGG-273","12156904-3208723ec6f65df810-SHELF-VS-2"
"J9Zgm4e6GxAkXX5UJ7vMQRB2TxELdhAxmqmVu4i66nzyvsx","12706018-3208723ec6f65df810-ITEM-192EGG-281","11922926-3208723ec6f65df810-SHELF-VS-34"
"DciJ22N2tHeoLWgWu2g97mRNA1CSBDeNKSGjajYYuxiHnmA","12706053-3208723ec6f65df810-ITEM-192EGG-316","12007739-3208723ec6f65df810-SHELF-VS-29"
"HXHy8RDEJ4AGywDgNhwvFdLZJzThBecTwCtA1ZURUxRjqMh","12706053-3208723ec6f65df810-ITEM-192EGG-341","11922926-3208723ec6f65df810-SHELF-VS-232"
"Hbr9TizJRuYkKkGGod9GjWXCDBX8AgfFH1fHTc7Xyqy1Sno","12706053-3208723ec6f65df810-ITEM-192EGG-342","11922926-3208723ec6f65df810-SHELF-VS-233"
"GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj","12706091-3208723ec6f65df810-ITEM-192EGG-353","11922926-3208723ec6f65df810-SHELF-VS-327"
"EMrTktHLYSHAqpVH3f2KMMoLkZPMWjeQAZLpZTJ6KgNcXVr","12706091-3208723ec6f65df810-ITEM-192EGG-369","11922926-3208723ec6f65df810-SHELF-VS-244"
"FB3nAwPCqA4ikbF3pToRPTAHswuSnMDzdFuw1YJ3o5nekrE","12706124-3208723ec6f65df810-ITEM-192EGG-438","12221746-3208723ec6f65df810-SHELF-VS-11"
"FUCpKJcqqjShpgjiUsAEG226uS9vR6P2HBct7B3thQBWwJP","12706124-3208723ec6f65df810-ITEM-192EGG-449","11996468-3208723ec6f65df810-SHELF-VS-184"
"EfAWHoqv5M11f7FBzRUaHDJisffxcTkDHRDT1iYTnPrnevS","12706159-3208723ec6f65df810-ITEM-192EGG-464","11996468-3208723ec6f65df810-SHELF-VS-193"
"ESufWaDWzVY3u2ffaGTqBv94nxBFWm2hFLob8BYaBLy1sWa","12706194-3208723ec6f65df810-ITEM-192EGG-501","11922926-3208723ec6f65df810-SHELF-VS-353"
"Ga1zWTgmmctvUSGTVRCgnxta9xJeT2gGg5jStB6k7WjaC7J","12706194-3208723ec6f65df810-ITEM-192EGG-522","11922926-3208723ec6f65df810-SHELF-VS-50"
"EzChecgwsgnuz8gcoQ2Wu4h8ULs9UWLwEXKRazrN6ceMwNr","12706194-3208723ec6f65df810-ITEM-192EGG-523","11922926-3208723ec6f65df810-SHELF-VS-363"
"EfyoiZLN83qH3X4Vj9zJMkfpptfN3xFgLsgubvvm77we8bF","12706194-3208723ec6f65df810-ITEM-192EGG-537","11922926-3208723ec6f65df810-SHELF-VS-236"
"FF4KRpru9a1r2nfWeLmZRk6N8z165btsWYaWvqaVgR6qVic","12706194-3208723ec6f65df810-ITEM-192EGG-543","11922926-3208723ec6f65df810-SHELF-VS-203"
"GUbtWYtH6p7wfAaWYuhAfaZQg8HB5LL2vMXb4H5tdUyZ9tN","12706229-3208723ec6f65df810-ITEM-192EGG-559","12420824-3208723ec6f65df810-SHELF-VS-16"
